NFL Game Stats Data in form player_team_offense_ranking,player_fantasy_avg,weather,opp_team_defense_ranking,f_points_earned 
8,24.014,81,5,8.84
8,4.55,81,5,5.0
8,11.79,81,5,16.5
8,12.3,81,5,18.0
8,6.029999999999999,81,5,2.4
8,6.8100000000000005,81,5,1.8
8,11.030000000000001,81,5,0.0
8,0.2,81,5,0.0
24,8.87,81,25,4.08
24,5.626,81,25,5.5
24,9.1,81,25,30.2
24,5.7,81,25,2.6
24,3.2,81,25,3.2
24,10.3,81,25,4.8
24,0.01428571428571429,81,25,1.0
24,4.6,81,25,0.4
9,19.89,58,30,8.999999999999998
9,20.32,58,30,41.2
9,2.0300000000000002,58,30,0.8
9,9.9,58,30,11.9
9,14.18,58,30,9.3
9,4.95,58,30,6.0
9,0.53,58,30,0.6
20,8.862,58,12,29.58
20,1.1,58,12,18.5
20,7.316666666666666,58,12,2.1
20,5.511111111111111,58,12,2.5
20,7.753333333333333,58,12,10.6
20,5.046666666666667,58,12,3.8
20,18.6,58,12,1.7
20,5.223333333333333,58,12,1.3
20,1.6666666666666665,58,12,1.2
20,4.6033333333333335,58,12,0.0
32,3.202,61,6,-2.94
32,9.46133333333333,61,6,5.5600000000000005
32,2.1166666666666667,61,6,3.1
32,5.67,61,6,2.1
32,5.556666666666667,61,6,0.3
32,3.986666666666667,61,6,2.6
32,1.01,61,6,2.4
32,1.9044444444444442,61,6,1.8
32,1.5,61,6,1.4
32,4.026666666666667,61,6,1.0
32,0.7,61,6,0.7
32,0.5,61,6,0.0
32,1.657777777777778,61,6,0.0
32,-0.5,61,6,0.0
15,14.789333333333332,61,29,21.74
15,2.594666666666667,61,29,4.859999999999999
15,10.4,61,29,16.4
15,6.471111111111111,61,29,15.2
15,9.540000000000001,61,29,11.899999999999999
15,9.386666666666667,61,29,4.5
15,5.786666666666666,61,29,4.9
15,1.51,61,29,4.0
15,6.573333333333333,61,29,3.8
15,1.9200000000000002,61,29,3.2
15,4.043333333333333,61,29,3.1
15,1.5799999999999998,61,29,0.5
29,15.614,59,18,13.239999999999998
29,12.01,59,18,6.8999999999999995
29,4.5,59,18,5.5
29,2.14,59,18,0.3
29,4.9399999999999995,59,18,5.4
29,7.369999999999999,59,18,5.1
29,3.0,59,18,2.5
29,5.99,59,18,1.4
29,1.6800000000000002,59,18,0.0
29,1.58,59,18,0.0
27,13.624,59,7,7.160000000000001
27,17.95,59,7,24.8
27,0.5700000000000001,59,7,0.8
27,8.03,59,7,4.8
27,5.5,59,7,1.8
27,2.527142857142857,59,7,1.6
27,11.693999999999999,59,7,11.0
27,1.13,59,7,0.8
14,18.70711111111111,62,15,11.04
14,9.87,62,15,10.9
14,5.006666666666666,62,15,15.6
14,5.07,62,15,3.7
14,3.41,62,15,2.7
14,0.1677777777777778,62,15,1.2
14,0.99,62,15,1.1
14,0.16999999999999998,62,15,0.0
14,2.19,62,15,0.0
14,0.7,62,15,0.0
14,14.294444444444444,62,15,7.1
4,17.83844444444444,62,11,21.279999999999998
4,3.2333333333333334,62,11,6.9
4,3.1,62,11,3.1
4,15.176666666666668,62,11,5.6
4,4.6177777777777775,62,11,1.9
4,6.9714285714285715,62,11,10.3
4,3.8633333333333333,62,11,6.6
4,0.36,62,11,2.2
4,5.033333333333333,62,11,1.1
7,22.672,78,23,48.28
7,6.78,78,23,6.9
7,0.78,78,23,0.6
7,1.4300000000000002,78,23,0.30000000000000004
7,12.33,78,23,14.7
7,11.82,78,23,14.6
7,9.65,78,23,5.4
7,7.25,78,23,4.1
7,6.369999999999999,78,23,2.7
7,0.08,78,23,0.0
7,3.6100000000000003,78,23,0.0
3,21.75,78,32,29.56
3,20.47,78,32,38.1
3,0.81,78,32,-1.1
3,6.529999999999999,78,32,7.3
3,14.25,78,32,16.0
3,5.15,78,32,4.4
3,0.78,78,32,2.0
3,2.43,78,32,1.5
3,4.93,78,32,0.0
3,0.03,78,32,0.0
3,0.91,78,32,0.0
16,12.672,78,16,9.04
16,8.707777777777777,78,16,5.1
16,4.222222222222223,78,16,1.7999999999999998
16,9.690000000000001,78,16,9.0
16,1.9333333333333336,78,16,6.1
16,3.4744444444444444,78,16,5.6
16,2.5414285714285714,78,16,2.8
16,4.33,78,16,2.1
16,4.1899999999999995,78,16,0.0
16,7.418571428571429,78,16,0.0
10,18.15533333333333,78,28,20.36
10,9.433333333333334,78,28,4.2
10,7.359999999999999,78,28,7.5
10,10.790000000000001,78,28,5.1
10,15.184444444444445,78,28,10.2
10,3.4766666666666666,78,28,1.8
10,5.213333333333333,78,28,1.1
10,0.45,78,28,0.9
10,0.13999999999999999,78,28,0.6
10,0.7599999999999999,78,28,0.0
30,3.964666666666667,89,24,2.6799999999999997
30,12.070285714285713,89,24,1.62
30,8.73,89,24,23.0
30,5.97,89,24,3.1
30,6.1899999999999995,89,24,6.2
30,5.2,89,24,5.2
30,1.74,89,24,3.7
30,3.7300000000000004,89,24,1.7
30,1.71,89,24,1.2
30,3.18,89,24,0.0
22,12.396,89,1,13.6
22,6.296666666666667,89,1,6.1
22,9.471111111111112,89,1,6.6
22,10.116,89,1,3.8
22,6.75,89,1,10.6
22,4.373333333333333,89,1,3.8
22,5.505111111111112,89,1,2.6
22,1.6199999999999999,89,1,1.1
11,17.272000000000002,78,20,16.52
11,15.4,78,20,26.9
11,12.59,78,20,7.199999999999999
11,5.9799999999999995,78,20,4.4
11,11.54,78,20,2.6
11,0.72,78,20,0.9
11,3.8,78,20,0.4
11,3.92,78,20,0.3
11,10.329999999999998,78,20,0.9000000000000001
6,20.476,78,27,19.459999999999997
6,3.2199999999999998,78,27,6.1
6,7.57,78,27,5.199999999999999
6,0.9,78,27,0.9
6,6.333333333333333,78,27,4.0
6,5.5,78,27,5.9
6,10.17,78,27,5.1
6,9.879999999999999,78,27,4.6
6,4.4399999999999995,78,27,1.8
6,2.35,78,27,1.8
6,5.26,78,27,1.3
1,25.967555555555553,84,9,28.340000000000003
1,19.726666666666667,84,9,4.9
1,3.0700000000000003,84,9,4.0
1,13.946666666666665,84,9,17.299999999999997
1,1.4966666666666666,84,9,3.6
1,8.07777777777778,84,9,2.1
1,2.521111111111111,84,9,1.5
1,12.23,84,9,0.6
1,1.5,84,9,0.1
1,0.21000000000000002,84,9,0.0
13,19.669999999999998,84,26,26.96
13,20.685714285714287,84,26,16.6
13,9.16,84,26,12.6
13,0.8300000000000001,84,26,2.0
13,0.01,84,26,0.1
13,8.81,84,26,10.8
13,8.18,84,26,8.1
13,2.4,84,26,2.1
13,2.29,84,26,1.6
13,9.33,84,26,0.8
26,14.89,81,10,6.699999999999999
26,13.83,81,10,20.6
26,0.61,81,10,0.5
26,5.09,81,10,0.1
26,6.08,81,10,7.3
26,1.55,81,10,2.7
26,3.5100000000000002,81,10,2.0
26,3.7871428571428574,81,10,1.8
26,3.7600000000000002,81,10,0.9
26,0.6,81,10,0.6
26,0.53,81,10,0.0
12,22.244,81,2,24.240000000000002
12,14.509999999999998,81,2,7.5
12,2.3600000000000003,81,2,3.5
12,5.17,81,2,0.3
12,1.64,81,2,12.1
12,7.8100000000000005,81,2,4.1
12,7.960000000000001,81,2,3.3
12,3.06,81,2,2.3
12,4.85,81,2,1.5
12,1.09,81,2,0.4
21,16.186,84,22,20.42
21,9.668571428571427,84,22,5.8999999999999995
21,2.77,84,22,4.3
21,6.9,84,22,10.5
21,9.84,84,22,5.9
21,3.27,84,22,4.6
21,3.1114285714285717,84,22,1.1
21,0.13,84,22,0.7
21,3.29,84,22,0.7
21,5.77,84,22,0.0
21,3.9299999999999997,84,22,0.0
17,13.058,84,4,19.16
17,11.016666666666666,84,4,10.2
17,8.13857142857143,84,4,7.1
17,3.8044444444444445,84,4,1.5
17,11.392888888888887,84,4,13.5
17,6.1,84,4,6.3
17,5.563333333333333,84,4,4.5
17,2.83,84,4,2.9
17,3.743333333333333,84,4,1.5
17,1.6166666666666667,84,4,0.0
17,1.42,84,4,0.0
25,13.826,78,13,19.599999999999998
25,12.89,78,13,26.6
25,7.64,78,13,12.8
25,0.4,78,13,0.7
25,4.75,78,13,4.8
25,5.73,78,13,3.2
25,5.584285714285714,78,13,2.2
25,3.567142857142857,78,13,1.1
25,3.65,78,13,0.9
31,3.562000000000001,78,8,2.8200000000000003
31,11.52,78,8,18.7
31,1.55,78,8,4.8
31,5.96,78,8,7.6
31,3.45,78,8,1.9
31,6.78,78,8,0.4
31,2.16,78,8,0.0
5,20.274,62,17,20.04
5,10.08,62,17,10.7
5,10.190000000000001,62,17,4.1
5,6.75,62,17,6.1
5,7.28,62,17,2.5
5,8.42,62,17,1.5
5,5.801428571428572,62,17,1.4
5,0.11000000000000001,62,17,0.9
5,0.15,62,17,0.6
19,20.012,62,3,24.939999999999998
19,0.20000000000000018,62,3,-1.7999999999999998
19,5.05,62,3,4.7
19,4.215714285714286,62,3,2.8
19,5.5600000000000005,62,3,14.2
19,14.379999999999999,62,3,8.8
19,8.06,62,3,6.9
19,1.59,62,3,1.3
19,6.8100000000000005,62,3,0.8
18,10.831555555555555,78,19,13.82
18,10.283333333333333,78,19,34.2
18,6.755714285714286,78,19,6.5
18,1.4500000000000002,78,19,2.1
18,-0.14444444444444443,78,19,0.2
18,4.9557142857142855,78,19,6.3
18,15.92,78,19,4.9
18,0.9400000000000001,78,19,2.7
18,0.6799999999999999,78,19,0.7
18,5.98,78,19,3.1999999999999997
23,15.665999999999997,78,21,8.04
23,-1.54,78,21,-1.54
23,3.4,78,21,3.5
23,9.1,78,21,3.7
23,8.89,78,21,11.4
23,10.275714285714287,78,21,7.9
23,9.41,78,21,5.4
23,0.39,78,21,0.7
23,0.7,78,21,0.6
23,0.37,78,21,0.5
23,0.9400000000000001,78,21,0.0
23,4.720000000000001,78,21,-0.3
2,20.062666666666665,69,31,17.22
2,24.104444444444447,69,31,14.700000000000001
2,13.032857142857143,69,31,6.800000000000001
2,10.547777777777778,69,31,9.299999999999999
2,11.3,69,31,4.3
2,3.236666666666667,69,31,2.3
28,14.502,69,14,6.219999999999999
28,10.67,69,14,16.9
28,4.9799999999999995,69,14,7.9
28,3.0300000000000002,69,14,1.7
28,10.82,69,14,1.8
28,8.43,69,14,18.0
28,6.41,69,14,2.3
28,0.41,69,14,2.0
28,4.404285714285714,69,14,1.1
15,14.789333333333332,82,27,17.84
15,9.540000000000001,82,27,9.0
15,6.471111111111111,82,27,16.4
15,1.9200000000000002,82,27,3.8
15,2.594666666666667,82,27,0.6
15,1.5799999999999998,82,27,1.1
15,9.386666666666667,82,27,9.2
15,6.573333333333333,82,27,5.6
15,5.786666666666666,82,27,5.4
15,1.51,82,27,2.6
15,4.043333333333333,82,27,1.7
11,17.272000000000002,82,6,26.6
11,15.4,82,6,8.700000000000001
11,10.329999999999998,82,6,4.2
11,11.54,82,6,9.1
11,12.59,82,6,6.9
11,3.8,82,6,4.5
11,5.9799999999999995,82,6,2.3
11,0.72,82,6,1.1
11,0.16999999999999998,82,6,0.0
11,3.92,82,6,0.5
24,8.87,91,32,15.66
24,5.7,91,32,20.5
24,6.75,91,32,0.9999999999999998
24,9.1,91,32,14.700000000000001
24,5.626,91,32,9.0
24,10.3,91,32,9.4
24,0.8400000000000001,91,32,5.7
24,1.06,91,32,3.9
24,0.6,91,32,0.0
7,22.672,91,5,29.979999999999997
7,6.78,91,5,2.9000000000000004
7,1.4300000000000002,91,5,3.5999999999999996
7,0.78,91,5,0.9
7,11.82,91,5,12.9
